,Route,Load,distance
0,"[0, 746, 740, 744, 757, 758, 0]",36,3283.4750000000004
0,"[0, 644, 646, 579, 630, 0]",40,5983.200999999999
0,"[0, 231, 229, 245, 235, 242, 0]",36,3711.2279999999996
0,"[0, 690, 689, 670, 0]",40,3283.9359999999997
0,"[0, 528, 533, 524, 0]",36,2692.5820000000003
0,"[0, 226, 234, 228, 239, 0]",25,2520.678
0,"[0, 380, 369, 348, 345, 365, 0]",39,4741.277
0,"[0, 286, 328, 331, 333, 445, 446, 472, 0]",40,7099.7570000000005
0,"[0, 110, 184, 0]",39,2150.5389999999998
0,"[0, 384, 383, 400, 401, 406, 410, 471, 0]",39,3535.4139999999998
0,"[0, 759, 760, 628, 0]",38,3910.102
0,"[0, 629, 632, 627, 0]",36,2747.838
0,"[0, 656, 745, 737, 742, 743, 0]",39,3176.8830000000007
0,"[0, 419, 421, 426, 427, 462, 477, 475, 0]",38,3919.88
0,"[0, 396, 395, 0]",35,2459.943
0,"[0, 713, 798, 717, 163, 0]",40,5267.7609999999995
0,"[0, 162, 98, 139, 132, 138, 130, 133, 134, 137, 141, 140, 0]",39,5121.799000000001
0,"[0, 626, 654, 0]",37,1838.824
0,"[0, 74, 75, 0]",34,1934.982
0,"[0, 658, 659, 665, 0]",39,2052.4120000000003
0,"[0, 113, 81, 82, 185, 0]",40,2268.01
0,"[0, 112, 85, 144, 143, 0]",33,4560.028
0,"[0, 225, 233, 227, 238, 221, 224, 0]",33,2520.678
0,"[0, 668, 788, 787, 795, 726, 0]",40,4310.303
0,"[0, 476, 478, 532, 536, 530, 529, 0]",40,2715.755
0,"[0, 480, 545, 537, 534, 507, 0]",39,2779.568
0,"[0, 506, 513, 631, 523, 0]",39,2612.097
0,"[0, 51, 264, 219, 0]",37,3807.196
0,"[0, 552, 569, 568, 557, 470, 0]",40,5757.779
0,"[0, 474, 479, 425, 418, 422, 411, 409, 408, 405, 0]",40,3807.177
0,"[0, 519, 548, 550, 590, 598, 0]",39,4673.884999999999
0,"[0, 398, 393, 0]",39,1576.8960000000002
0,"[0, 164, 167, 158, 0]",40,2565.909
0,"[0, 168, 104, 156, 150, 151, 0]",38,2823.1859999999997
0,"[0, 178, 653, 662, 663, 657, 0]",37,2395.706
0,"[0, 666, 667, 675, 676, 731, 669, 672, 0]",38,2748.676
0,"[0, 208, 222, 210, 374, 391, 0]",40,1827.652
0,"[0, 220, 223, 211, 375, 392, 0]",35,1827.652
0,"[0, 216, 68, 76, 217, 205, 0]",39,2196.346
0,"[0, 218, 190, 206, 0]",28,2067.3730000000005
0,"[0, 145, 161, 0]",37,4176.008
0,"[0, 601, 607, 600, 516, 0]",40,3466.916
0,"[0, 517, 521, 526, 531, 527, 0]",40,2895.7169999999996
0,"[0, 518, 625, 0]",23,1709.0679999999998
0,"[0, 467, 483, 486, 487, 454, 551, 0]",38,4489.898999999999
0,"[0, 464, 316, 447, 448, 450, 317, 436, 361, 481, 468, 0]",40,7883.341999999999
0,"[0, 169, 107, 0]",37,2102.139
0,"[0, 510, 503, 505, 512, 0]",39,1619.6439999999998
0,"[0, 399, 215, 0]",37,1576.8960000000002
0,"[0, 377, 240, 248, 385, 389, 0]",37,3055.616
0,"[0, 390, 376, 230, 246, 373, 0]",38,2764.729
0,"[0, 165, 173, 179, 660, 655, 661, 0]",35,2337.696
0,"[0, 166, 171, 0]",38,1273.229
0,"[0, 671, 180, 175, 174, 0]",35,1682.68
0,"[0, 189, 203, 0]",30,1477.692
0,"[0, 204, 79, 186, 67, 70, 0]",40,2918.586
0,"[0, 103, 102, 160, 106, 111, 182, 0]",33,2352.774
0,"[0, 699, 697, 811, 810, 694, 801, 806, 696, 701, 181, 0]",40,7754.552
0,"[0, 501, 559, 555, 560, 561, 0]",40,4787.052
0,"[0, 592, 595, 597, 593, 502, 0]",39,4533.048
0,"[0, 514, 508, 0]",33,1009.422
0,"[0, 515, 509, 0]",33,1009.422
0,"[0, 109, 108, 183, 170, 207, 0]",36,2218.0099999999998
0,"[0, 212, 214, 209, 213, 0]",31,1258.914
0,"[0, 489, 494, 499, 0]",40,950.252
0,"[0, 493, 522, 495, 496, 491, 0]",36,1779.9340000000002
0,"[0, 500, 394, 497, 397, 469, 473, 498, 492, 0]",40,2091.007
0,"[0, 192, 100, 99, 95, 101, 149, 0]",40,3131.5789999999997
0,"[0, 176, 177, 191, 193, 0]",37,733.3330000000001
0,"[0, 201, 407, 403, 388, 382, 0]",40,3190.911
0,"[0, 202, 378, 241, 372, 232, 0]",40,2764.729
0,"[0, 511, 504, 520, 198, 0]",35,1473.32
0,"[0, 172, 194, 199, 0]",33,955.6659999999999
0,"[0, 195, 196, 490, 197, 0]",37,635.268
0,"[0, 200, 381, 438, 420, 415, 417, 0]",40,3910.745999999999
