,pointID,Geographic Area Name,Population,cdtaname,boroname_left,cdta2020,geoid,Demand,lon,lat,coordinates,OSMID,OSM_lon,OSM_lat,geometry
19,18,"Block 3005, Block Group 3, Census Tract 1, Kings County, New York",614,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001003005,13,-73.99334212265217,40.69864103827402,"(40.69864103827402,-73.99334212265217)",42483640,-73.99271,40.698097,POINT (-73.99271 40.698097)
20,19,"Block 4000, Block Group 4, Census Tract 1, Kings County, New York",474,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001004000,11,-73.99120409527535,40.70040852381619,"(40.70040852381619,-73.99120409527535)",42498552,-73.991454,40.700691,POINT (-73.991454 40.700691)
21,20,"Block 4001, Block Group 4, Census Tract 1, Kings County, New York",525,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001004001,12,-73.99184691830021,40.69889448219287,"(40.69889448219287,-73.99184691830021)",42517910,-73.992392,40.698745,POINT (-73.992392 40.698745)
22,21,"Block 4002, Block Group 4, Census Tract 1, Kings County, New York",521,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470001004002,12,-73.99217611107598,40.69762167869477,"(40.69762167869477,-73.99217611107598)",42517600,-73.992124,40.697224,POINT (-73.992124 40.697224)
23,22,"Block 1000, Block Group 1, Census Tract 3.01, Kings County, New York",207,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003011000,5,-73.99572587053055,40.69856620006948,"(40.69856620006948,-73.99572587053055)",42513265,-73.9951564,40.6987735,POINT (-73.9951564 40.6987735)
24,23,"Block 1001, Block Group 1, Census Tract 3.01, Kings County, New York",680,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003011001,15,-73.99635556872414,40.697245397364725,"(40.697245397364725,-73.99635556872414)",42476712,-73.997078,40.696311,POINT (-73.997078 40.696311)
25,24,"Block 2000, Block Group 2, Census Tract 3.01, Kings County, New York",111,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003012000,3,-73.99487495757728,40.69832788062965,"(40.69832788062965,-73.99487495757728)",42483468,-73.9945992,40.6978919,POINT (-73.9945992 40.6978919)
26,25,"Block 2001, Block Group 2, Census Tract 3.01, Kings County, New York",736,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003012001,16,-73.99544820771303,40.69713369797239,"(40.69713369797239,-73.99544820771303)",42483469,-73.9953127,40.6963744,POINT (-73.9953127 40.6963744)
27,26,"Block 3000, Block Group 3, Census Tract 3.01, Kings County, New York",444,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003013000,10,-73.99646505919003,40.695768330984855,"(40.695768330984855,-73.99646505919003)",42476718,-73.996413,40.696131,POINT (-73.996413 40.696131)
28,27,"Block 3001, Block Group 3, Census Tract 3.01, Kings County, New York",413,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003013001,9,-73.99677711211424,40.69510180721476,"(40.69510180721476,-73.99677711211424)",42483473,-73.9958526,40.6952262,POINT (-73.99585260000001 40.6952262)
29,28,"Block 4002, Block Group 4, Census Tract 3.01, Kings County, New York",356,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003014002,8,-73.99783631486514,40.694784775599224,"(40.694784775599224,-73.99783631486514)",42476037,-73.9977089,40.6949744,POINT (-73.99770890000001 40.6949744)
