,Route,Load,distance
0,"[0, 380, 247, 252, 387, 253, 251, 250, 269, 266, 254, 255, 0]",37,4159.549999999999
0,"[0, 381, 350, 341, 342, 340, 339, 0]",40,5932.476000000001
0,"[0, 384, 369, 348, 345, 365, 0]",38,4741.277
0,"[0, 410, 419, 421, 426, 427, 411, 471, 0]",39,3920.616
0,"[0, 438, 420, 415, 417, 409, 472, 0]",39,3912.3540000000003
0,"[0, 79, 80, 86, 87, 77, 81, 185, 108, 0]",40,3349.394
0,"[0, 401, 402, 404, 383, 406, 405, 408, 0]",38,3699.2879999999996
0,"[0, 534, 532, 530, 529, 0]",40,2524.866
0,"[0, 667, 715, 796, 0]",40,4196.73
0,"[0, 594, 596, 603, 628, 0]",37,4062.12
0,"[0, 629, 632, 627, 0]",36,2747.838
0,"[0, 656, 746, 740, 744, 757, 758, 0]",39,3283.4750000000004
0,"[0, 797, 724, 163, 0]",39,5155.545999999999
0,"[0, 670, 164, 167, 0]",40,2247.965
0,"[0, 162, 98, 139, 132, 138, 130, 133, 134, 137, 141, 140, 0]",39,5121.799000000001
0,"[0, 626, 654, 0]",37,1838.824
0,"[0, 74, 75, 0]",34,1934.982
0,"[0, 112, 85, 94, 147, 148, 763, 0]",40,4354.546
0,"[0, 83, 111, 0]",35,3458.5070000000005
0,"[0, 225, 233, 227, 238, 221, 224, 0]",33,2520.678
0,"[0, 378, 241, 372, 232, 0]",34,2755.5139999999997
0,"[0, 657, 653, 662, 663, 668, 0]",37,2395.706
0,"[0, 425, 418, 422, 412, 462, 477, 475, 476, 0]",38,3613.817
0,"[0, 506, 513, 523, 524, 0]",40,2297.559
0,"[0, 479, 478, 480, 545, 537, 536, 507, 0]",40,2783.161
0,"[0, 528, 527, 533, 522, 0]",40,2765.142
0,"[0, 219, 47, 48, 49, 50, 265, 0]",33,3808.1060000000007
0,"[0, 110, 183, 0]",40,2150.5389999999998
0,"[0, 465, 481, 360, 336, 445, 446, 470, 0]",40,6421.704
0,"[0, 474, 316, 312, 311, 299, 304, 307, 305, 292, 291, 294, 288, 289, 290, 301, 302, 293, 295, 296, 325, 0]",40,10117.936000000002
0,"[0, 519, 542, 543, 540, 0]",40,4011.8509999999997
0,"[0, 398, 393, 0]",39,1576.896
0,"[0, 178, 658, 659, 0]",33,1921.6100000000001
0,"[0, 666, 675, 731, 665, 669, 671, 0]",40,2748.676
0,"[0, 672, 728, 747, 754, 793, 0]",39,3892.407
0,"[0, 208, 222, 210, 374, 391, 0]",40,1827.652
0,"[0, 220, 223, 211, 375, 392, 0]",35,1827.652
0,"[0, 216, 68, 76, 217, 205, 0]",39,2196.3460000000005
0,"[0, 218, 190, 206, 0]",28,2067.3730000000005
0,"[0, 158, 168, 161, 0]",33,2018.656
0,"[0, 516, 605, 602, 635, 611, 0]",39,3768.6279999999997
0,"[0, 464, 434, 435, 436, 361, 433, 431, 424, 467, 0]",40,6235.454
0,"[0, 468, 486, 453, 567, 564, 0]",40,5124.529
0,"[0, 180, 179, 660, 655, 661, 0]",36,2319.154
0,"[0, 113, 82, 109, 184, 170, 0]",40,2268.0099999999998
0,"[0, 169, 107, 0]",37,2102.139
0,"[0, 500, 394, 497, 397, 469, 473, 498, 0]",37,2091.0069999999996
0,"[0, 503, 505, 512, 510, 0]",39,1619.644
0,"[0, 399, 214, 0]",37,1576.896
0,"[0, 389, 376, 230, 246, 373, 0]",38,2764.7290000000003
0,"[0, 256, 258, 259, 261, 277, 281, 496, 0]",40,5523.851
0,"[0, 189, 203, 204, 0]",38,1527.692
0,"[0, 686, 768, 181, 0]",38,3921.2219999999998
0,"[0, 501, 548, 550, 590, 598, 0]",40,4673.885
0,"[0, 502, 558, 566, 565, 571, 0]",40,5646.123
0,"[0, 508, 511, 504, 520, 0]",38,1473.32
0,"[0, 509, 514, 0]",33,1009.422
0,"[0, 517, 625, 518, 493, 0]",40,2192.302
0,"[0, 166, 165, 173, 172, 0]",39,1597.042
0,"[0, 171, 207, 0]",35,1223.229
0,"[0, 212, 390, 215, 209, 213, 0]",38,1308.914
0,"[0, 491, 499, 494, 495, 492, 0]",39,1110.97
0,"[0, 192, 102, 160, 106, 182, 0]",31,2302.7739999999994
0,"[0, 176, 177, 191, 193, 0]",37,733.3330000000001
0,"[0, 194, 515, 0]",34,1114.484
0,"[0, 196, 489, 490, 197, 0]",40,685.268
0,"[0, 379, 231, 229, 245, 201, 0]",40,2807.225
0,"[0, 377, 240, 386, 382, 202, 0]",40,3056.115
0,"[0, 759, 760, 198, 0]",40,3910.102
0,"[0, 175, 174, 199, 0]",25,1284.9920000000002
0,"[0, 200, 396, 400, 395, 0]",40,2649.435
0,"[0, 226, 234, 228, 239, 195, 0]",35,2524.0769999999998
